Date,Time,Open,High,Low,Close,Volume
2023/8/29,10:11:00,549,549,549,549,0
2023/8/29,10:12:00,549,549,549,549,2
2023/8/29,10:13:00,549,549,548,548,3
2023/8/29,10:14:00,548,548,548,548,3
2023/8/29,10:15:00,549,549,548,549,17
2023/8/29,10:16:00,548,548,548,548,1
2023/8/29,10:17:00,548,548,548,548,0
2023/8/29,10:18:00,549,549,549,549,2
2023/8/29,10:19:00,548,549,548,549,10
2023/8/29,10:20:00,548,550,548,550,123
2023/8/29,10:21:00,550,550,549,550,22
2023/8/29,10:22:00,549,550,549,550,8
2023/8/29,10:23:00,550,550,550,550,2
2023/8/29,10:24:00,549,550,549,550,10
2023/8/29,10:25:00,550,550,549,550,7
2023/8/29,10:26:00,550,550,549,549,6
2023/8/29,10:27:00,550,550,550,550,2
2023/8/29,10:28:00,549,550,549,549,3
2023/8/29,10:29:00,549,549,549,549,0
2023/8/29,10:30:00,550,550,549,550,5
2023/8/29,10:31:00,550,550,549,549,7
2023/8/29,10:32:00,549,550,549,550,5
2023/8/29,10:33:00,550,550,549,549,8
2023/8/29,10:34:00,550,550,549,550,14
2023/8/29,10:35:00,549,550,549,549,7
2023/8/29,10:36:00,550,550,549,549,4
2023/8/29,10:37:00,549,550,549,550,6
2023/8/29,10:38:00,550,550,549,549,4
2023/8/29,10:39:00,550,550,549,550,50
2023/8/29,10:40:00,549,550,549,550,7
2023/8/29,10:41:00,549,550,549,549,6
2023/8/29,10:42:00,549,549,549,549,27
2023/8/29,10:43:00,549,550,549,549,13
2023/8/29,10:44:00,549,550,549,549,12
2023/8/29,10:45:00,550,550,549,549,4
2023/8/29,10:46:00,549,550,549,550,10
2023/8/29,10:47:00,550,550,550,550,1
2023/8/29,10:48:00,550,550,550,550,1
2023/8/29,10:49:00,549,549,549,549,4
2023/8/29,10:50:00,549,550,549,549,40
2023/8/29,10:51:00,549,549,548,548,246
2023/8/29,10:52:00,549,550,549,550,157
2023/8/29,10:53:00,548,550,548,549,31
2023/8/29,10:54:00,549,549,549,549,8
2023/8/29,10:55:00,549,549,549,549,5
